Testfirmen ; <keine> ; 1 ; 5 ; 4 ; Match ; 0 ; 1. ; 9 ; k ; 963,3 ; 1201,4 ; 1539,91 ; 51,277 ; 15:45:13 ; 277,0778 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 5 ; 4 ; Match ; 0 ; 2. ; 10,1 ; g ; 698,4 ; -162,8 ; 717,12 ; 346,878 ; 15:45:27 ; 291,5778 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 5 ; 4 ; Match ; 0 ; 3. ; 10,7 ; R ; 155,3 ; 149,6 ; 215,63 ; 43,929 ; 15:45:45 ; 309,2968 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 5 ; 3 ; Match ; 0 ; 4. ; 10,4 ; k ; 320,5 ; 328,8 ; 459,16 ; 45,732 ; 15:45:57 ; 321,7647 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 3 ; Match ; 0 ; 1. ; 9,3 ; j ; -837,6 ; 1063,8 ; 1353,97 ; 128,216 ; 17:10:05 ; 87,40575 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 3 ; Match ; 0 ; 2. ; 9,4 ; i ; -41,9 ; -1280 ; 1280,69 ; 268,125 ; 17:10:51 ; 133,4057 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 1 ; Match ; 0 ; 3. ; 10,4 ; f ; -417,5 ; 37,4 ; 419,17 ; 174,881 ; 17:11:06 ; 148,4527 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 1 ; Match ; 0 ; 4. ; 9,8 ; f ; -920,9 ; 138,6 ; 931,27 ; 171,441 ; 17:11:54 ; 197,0938 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 3 ; 1 ; Match ; 0 ; 1. ; 6,7 ; i ; -1122,6 ; -3223,7 ; 3413,57 ; 250,8 ; 16:49:33 ; 225,2964 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 5 ; Match ; 0 ; 5. ; 10 ; k ; 479,5 ; 618,1 ; 782,28 ; 52,197 ; 17:12:31 ; 233,7807 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 5 ; 7 ; Match ; 10 ; 1. ; 9,3 ; m ; 1121,4 ; -725,3 ; 1335,51 ; 327,106 ; 16:55:06 ; 215,9999 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 7 ; Match ; 0 ; 6. ; 10,7 ; R ; 44,8 ; 196,8 ; 201,83 ; 77,176 ; 17:13:13 ; 276,1248 ; 16.07.2016 ; SpO 1.80 ; frei ; 
