Testpaar ; <keine> ; 1 ; 4 ; 77 ; Match ; 11 ; 7. ; 10,1 ; j ; -515,1 ; 387,2 ; 644,4 ; 143,068 ; 18:59:51 ; 271,187 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 77 ; Match ; 10 ; 3. ; 10,4 ; l ; -318 ; -268,3 ; 416,06 ; 220,155 ; 18:42:22 ; 90,78113 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 77 ; Match ; 11 ; 1. ; 10,4 ; j ; -196,9 ; 365,1 ; 414,81 ; 118,338 ; 18:37:16 ; 35,23362 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 77 ; Match ; 11 ; 8. ; 9,2 ; k ; 1094,5 ; 902,5 ; 1418,6 ; 39,508 ; 19:00:30 ; 309,39 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 77 ; Match ; 11 ; 9. ; 10,1 ; k ; 639 ; 266,2 ; 692,23 ; 22,616 ; 19:01:32 ; 371,5 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 78 ; Match ; 11 ; 2. ; 9,4 ; i ; 314,8 ; -1236,3 ; 1275,75 ; 284,286 ; 18:39:21 ; 160,2186 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 78 ; Match ; 11 ; 10. ; 9,7 ; k ; 533,7 ; 862,4 ; 1014,18 ; 58,249 ; 19:02:33 ; 432,562 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 78 ; Match ; 11 ; 3. ; 10,8 ; R ; 32,9 ; -152,9 ; 156,4 ; 282,143 ; 18:39:58 ; 197,2336 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 78 ; Match ; 11 ; 4. ; 10,6 ; R ; 174,6 ; -179,3 ; 250,27 ; 314,239 ; 18:40:46 ; 244,5156 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 78 ; Match ; 0 ; 1. ; 10,1 ; g ; 659,9 ; 185,9 ; 685,59 ; 15,733 ; 19:15:39 ; 65,75 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 79 ; Match ; 0 ; 1. ; 8 ; k ; 1204,8 ; 2029,7 ; 2360,34 ; 59,307 ; 18:53:44 ; 130,8116 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 85 ; Match ; 11 ; 5. ; 9,5 ; i ; -203,2 ; -1132,8 ; 1150,88 ; 259,831 ; 18:41:32 ; 291,4056 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 85 ; Match ; 0 ; 2. ; 9,5 ; m ; 887,2 ; -737,1 ; 1153,45 ; 320,28 ; 19:15:56 ; 82,718 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 85 ; Match ; 0 ; 3. ; 10,3 ; i ; -60,8 ; -495,9 ; 499,61 ; 263,01 ; 19:16:15 ; 101,953 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 85 ; Match ; 0 ; 4. ; 9,4 ; i ; -398,9 ; -1174,5 ; 1240,39 ; 251,241 ; 19:16:42 ; 128,531 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 85 ; Match ; 0 ; 2. ; 10,5 ; R ; 87,2 ; -370,6 ; 380,72 ; 283,241 ; 18:54:40 ; 186,2806 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 86 ; Match ; 11 ; 1. ; 10,2 ; g ; 593,4 ; -157,3 ; 613,89 ; 345,153 ; 19:05:21 ; 58,4215 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 86 ; Match ; 0 ; 5. ; 9,8 ; l ; -559,9 ; -705 ; 900,28 ; 231,544 ; 19:16:58 ; 144,531 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 86 ; Match ; 11 ; 2. ; 10,3 ; i ; -14,3 ; -534,5 ; 534,69 ; 268,467 ; 19:05:46 ; 82,6875 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 86 ; Match ; 0 ; 6. ; 8,9 ; l ; -1151,2 ; -1162,1 ; 1635,77 ; 225,27 ; 19:17:26 ; 172,531 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 86 ; Match ; 0 ; 3. ; 8,6 ; h ; -182,7 ; 1845,5 ; 1854,52 ; 95,654 ; 18:55:22 ; 229,2496 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 72 ; Match ; 0 ; 7. ; 8 ; i ; 528,5 ; -2301,9 ; 2361,79 ; 282,931 ; 19:17:46 ; 192,437 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 141 ; Match ; 11 ; 3. ; 9,8 ; h ; 307,9 ; 888,7 ; 940,53 ; 70,891 ; 19:06:15 ; 112,0465 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 141 ; Match ; 11 ; 1. ; 8,4 ; j ; -1208,2 ; 1635,4 ; 2033,29 ; 126,456 ; 18:43:31 ; 48,34312 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 141 ; Match ; 0 ; 8. ; 10 ; m ; 454,7 ; -609,3 ; 760,26 ; 306,733 ; 19:18:14 ; 221 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 141 ; Match ; 0 ; 4. ; 10,4 ; f ; -384,7 ; -114,4 ; 401,35 ; 196,561 ; 18:56:17 ; 284,1866 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 141 ; Match ; 11 ; 4. ; 10,5 ; R ; -272,2 ; 259,6 ; 376,14 ; 136,357 ; 19:06:50 ; 146,8905 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 143 ; Match ; 10 ; 1. ; 9,3 ; j ; -939,6 ; 954 ; 1339,02 ; 134,564 ; 18:49:09 ; 155,3898 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 143 ; Match ; 11 ; 2. ; 10,6 ; R ; -307,4 ; -68,2 ; 314,87 ; 192,509 ; 18:44:08 ; 84,99912 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 143 ; Match ; 0 ; 9. ; 8,4 ; i ; 573,2 ; -1921,4 ; 2005,08 ; 286,611 ; 19:18:40 ; 247,078 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 143 ; Match ; 0 ; 5. ; 10,6 ; R ; 186,1 ; 200,2 ; 273,34 ; 47,09 ; 18:56:52 ; 318,8586 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 143 ; Match ; 0 ; 10. ; 9,6 ; l ; -874,2 ; -695,3 ; 1116,99 ; 218,497 ; 19:19:03 ; 270,093 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 155 ; Match ; 11 ; 5. ; 10,2 ; h ; -112 ; 593,9 ; 604,37 ; 100,68 ; 19:07:32 ; 189,2335 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 162 ; Match ; 11 ; 3. ; 10,7 ; R ; 42 ; 157,3 ; 162,81 ; 75,05 ; 18:44:50 ; 127,2181 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 162 ; Match ; 0 ; 1. ; 9 ; j ; -1384,5 ; 692,4 ; 1547,99 ; 153,43 ; 18:50:06 ; 35,63987 ; 16.07.2016 ; SpO 1.80 ; frei ; 
